ZSczzzC, 
2022-07-15 11:40:23,371 - ebanking -WARN - Login failed
2022-07-15 11:40:23,669 - ebanking -INFO - Entered Username
2022-07-15 11:40:23,752 - ebanking -INFO - Entered Password
2022-07-15 15:36:32,961 - ebanking -INFO - URL is opened
2022-07-15 15:36:57,407 - ebanking -INFO - Entered Username
2022-07-15 15:36:57,970 - ebanking -INFO - Entered Password
2022-07-15 15:38:23,263 - ebanking -INFO - URL is opened
2022-07-15 15:38:25,628 - ebanking -INFO - Entered Username
2022-07-15 15:38:25,776 - ebanking -INFO - Entered Password
2022-07-15 15:38:32,963 - ebanking -WARN - Login failed
2022-07-15 15:38:33,487 - ebanking -INFO - Entered Username
2022-07-15 15:38:33,629 - ebanking -INFO - Entered Password
2022-07-15 15:43:52,726 - ebanking -INFO - URL is opened
2022-07-15 15:43:55,094 - ebanking -INFO - Entered Username
2022-07-15 15:43:55,258 - ebanking -INFO - Entered Password
2022-07-15 15:44:00,711 - ebanking -WARN - Login failed
2022-07-15 15:44:01,478 - ebanking -INFO - Entered Username
2022-07-15 15:44:01,628 - ebanking -INFO - Entered Password
2022-07-15 15:55:02,728 - ebanking -INFO - URL is opened
2022-07-15 15:55:05,045 - ebanking -INFO - Entered Username
2022-07-15 15:55:05,167 - ebanking -INFO - Entered Password
2022-07-15 15:55:09,675 - ebanking -WARN - Login failed
2022-07-15 15:55:11,102 - ebanking -INFO - Entered Username
2022-07-15 15:55:11,176 - ebanking -INFO - Entered Password
2022-07-15 15:55:18,167 - ebanking -INFO - Login passed
2022-07-15 15:56:04,429 - ebanking -INFO - URL is opened
2022-07-15 15:56:06,617 - ebanking -INFO - Entered Username
2022-07-15 15:56:06,696 - ebanking -INFO - Entered Password
2022-07-15 15:56:11,196 - ebanking -WARN - Login failed
2022-07-15 15:56:12,592 - ebanking -INFO - Entered Username
2022-07-15 15:56:12,671 - ebanking -INFO - Entered Password
2022-07-15 15:56:19,333 - ebanking -INFO - Login passed
2022-07-16 15:41:04,218 - ebanking -INFO - URL is opened
2022-07-16 15:41:44,995 - ebanking -INFO - URL is opened
2022-07-16 15:41:45,557 - ebanking -INFO - Entered Username
2022-07-16 15:41:45,616 - ebanking -INFO - Entered Password
2022-07-16 15:41:49,197 - ebanking -INFO - Login test passed
2022-07-16 15:42:02,830 - ebanking -INFO - URL is opened
2022-07-16 15:42:04,760 - ebanking -INFO - Entered Username
2022-07-16 15:42:04,879 - ebanking -INFO - Entered Password
2022-07-16 15:42:09,448 - ebanking -WARN - Login failed
2022-07-16 15:42:10,831 - ebanking -INFO - Entered Username
2022-07-16 15:42:10,913 - ebanking -INFO - Entered Password
2022-07-16 15:42:16,819 - ebanking -INFO - Login passed
2022-07-16 16:08:09,928 - ebanking -INFO - URL is opened
2022-07-16 16:08:10,182 - ebanking -INFO - Entered Username
2022-07-16 16:08:10,292 - ebanking -INFO - Entered Password
2022-07-16 16:08:31,802 - ebanking -INFO - test case failed
2022-07-16 16:11:42,648 - ebanking -INFO - URL is opened
2022-07-16 16:11:42,868 - ebanking -INFO - Entered Username
2022-07-16 16:11:42,936 - ebanking -INFO - Entered Password
2022-07-16 16:12:00,688 - ebanking -INFO - test case failed
2022-07-16 16:16:06,831 - ebanking -INFO - URL is opened
2022-07-16 16:16:07,103 - ebanking -INFO - Entered Username
2022-07-16 16:16:07,180 - ebanking -INFO - Entered Password
2022-07-16 16:16:26,892 - ebanking -INFO - test case failed
2022-07-16 16:17:43,747 - ebanking -INFO - URL is opened
2022-07-16 16:17:43,998 - ebanking -INFO - Entered Username
2022-07-16 16:17:44,062 - ebanking -INFO - Entered Password
2022-07-16 16:19:30,630 - ebanking -INFO - URL is opened
2022-07-16 16:19:30,934 - ebanking -INFO - Entered Username
2022-07-16 16:19:31,136 - ebanking -INFO - Entered Password
2022-07-16 16:20:04,670 - ebanking -INFO - URL is opened
2022-07-16 16:20:05,095 - ebanking -INFO - Entered Username
2022-07-16 16:20:05,282 - ebanking -INFO - Entered Password
2022-07-16 16:20:38,790 - ebanking -INFO - URL is opened
2022-07-16 16:20:39,022 - ebanking -INFO - Entered Username
2022-07-16 16:20:39,104 - ebanking -INFO - Entered Password
2022-07-16 16:20:58,206 - ebanking -INFO - test case failed
2022-07-16 16:22:56,926 - ebanking -INFO - URL is opened
2022-07-16 16:22:57,176 - ebanking -INFO - Entered Username
2022-07-16 16:22:57,242 - ebanking -INFO - Entered Password
2022-07-16 16:23:14,624 - ebanking -INFO - test case failed
2022-07-19 10:51:57,054 - ebanking -INFO - URL is opened
2022-07-19 10:51:57,348 - ebanking -INFO - Entered Username
2022-07-19 10:51:57,466 - ebanking -INFO - Entered Password
2022-07-19 10:52:15,863 - ebanking -INFO - test case failed
2022-07-19 10:52:48,416 - ebanking -INFO - URL is opened
2022-07-19 10:52:48,901 - ebanking -INFO - Entered Username
2022-07-19 10:52:49,879 - ebanking -INFO - Entered Password
2022-07-19 10:53:11,843 - ebanking -INFO - test case passed
2022-07-19 10:53:58,151 - ebanking -INFO - URL is opened
2022-07-19 10:53:58,591 - ebanking -INFO - Entered Username
2022-07-19 10:53:59,072 - ebanking -INFO - Entered Password
2022-07-19 10:54:01,724 - ebanking -INFO - Login test passed
2022-07-19 10:54:06,976 - ebanking -INFO - URL is opened
2022-07-19 10:54:08,839 - ebanking -INFO - Entered Username
2022-07-19 10:54:08,989 - ebanking -INFO - Entered Password
2022-07-19 10:54:14,754 - ebanking -WARN - Login failed
2022-07-19 10:54:15,255 - ebanking -INFO - Entered Username
2022-07-19 10:54:15,386 - ebanking -INFO - Entered Password
2022-07-19 10:54:21,602 - ebanking -INFO - Login passed
2022-07-19 10:54:32,853 - ebanking -INFO - URL is opened
2022-07-19 10:54:33,153 - ebanking -INFO - Entered Username
2022-07-19 10:54:33,310 - ebanking -INFO - Entered Password
2022-07-19 10:54:55,057 - ebanking -INFO - test case passed
2022-07-19 10:59:13,327 - ebanking -INFO - URL is opened
2022-07-19 10:59:13,666 - ebanking -INFO - Entered Username
2022-07-19 10:59:14,003 - ebanking -INFO - Entered Password
2022-07-19 10:59:15,708 - ebanking -INFO - Login test passed
2022-07-19 10:59:22,659 - ebanking -INFO - URL is opened
2022-07-19 10:59:24,622 - ebanking -INFO - Entered Username
2022-07-19 10:59:24,766 - ebanking -INFO - Entered Password
2022-07-19 10:59:30,500 - ebanking -INFO - Entered Username
2022-07-19 10:59:30,865 - ebanking -INFO - Entered Password
2022-07-19 10:59:37,942 - ebanking -INFO - Login passed
2022-07-19 10:59:48,694 - ebanking -INFO - URL is opened
2022-07-19 10:59:48,833 - ebanking -INFO - Entered Username
2022-07-19 10:59:48,947 - ebanking -INFO - Entered Password
2022-07-19 11:01:33,838 - ebanking -INFO - URL is opened
